section,item,value,n_total,n_available,notes
A,N reports,50,50,50,
A,Date range min,2024-11-01,50,50,
A,Date range max,2025-03-01,50,50,
A,Number of fields,125,50,50,
B,Aircraft 2 - n_vars,35,50,35,
B,Aircraft 2 - mean_pct_present,6.8,50,35,
B,Aircraft 2 - median_pct_present,0,50,35,
B,Aircraft 2 - min_pct_present,0,50,35,
B,Aircraft 2 - max_pct_present,64,50,35,
B,Component - n_vars,4,50,4,
B,Component - mean_pct_present,11.5,50,4,
B,Component - median_pct_present,12,50,4,
B,Component - min_pct_present,10,50,4,
B,Component - max_pct_present,12,50,4,
B,Aircraft 1 - n_vars,35,50,35,
B,Aircraft 1 - mean_pct_present,32,50,35,
B,Aircraft 1 - median_pct_present,24,50,35,
B,Aircraft 1 - min_pct_present,0,50,35,
B,Aircraft 1 - max_pct_present,100,50,35,
B,Person - n_vars,22,50,22,
B,Person - mean_pct_present,32.2,50,22,
B,Person - median_pct_present,10,50,22,
B,Person - min_pct_present,0,50,22,
B,Person - max_pct_present,100,50,22,
B,Environment - n_vars,6,50,6,
B,Environment - mean_pct_present,36.7,50,6,
B,Environment - median_pct_present,50,50,6,
B,Environment - min_pct_present,2,50,6,
B,Environment - max_pct_present,64,50,6,
B,Report text - n_vars,5,50,5,
B,Report text - mean_pct_present,44.4,50,5,
B,Report text - median_pct_present,12,50,5,
B,Report text - min_pct_present,0,50,5,
B,Report text - max_pct_present,100,50,5,
B,Place - n_vars,7,50,7,
B,Place - mean_pct_present,46.6,50,7,
B,Place - median_pct_present,46,50,7,
B,Place - min_pct_present,0,50,7,
B,Place - max_pct_present,92,50,7,
B,Events - n_vars,6,50,6,
B,Events - mean_pct_present,71.7,50,6,
B,Events - median_pct_present,96,50,6,
B,Events - min_pct_present,0,50,6,
B,Events - max_pct_present,100,50,6,
B,Time - n_vars,2,50,2,
B,Time - mean_pct_present,96,50,2,
B,Time - median_pct_present,96,50,2,
B,Time - min_pct_present,92,50,2,
B,Time - max_pct_present,100,50,2,
B,Assessments - n_vars,2,50,2,
B,Assessments - mean_pct_present,100,50,2,
B,Assessments - median_pct_present,100,50,2,
B,Assessments - min_pct_present,100,50,2,
B,Assessments - max_pct_present,100,50,2,
B,Other - n_vars,1,50,1,
B,Other - mean_pct_present,100,50,1,
B,Other - median_pct_present,100,50,1,
B,Other - min_pct_present,100,50,1,
B,Other - max_pct_present,100,50,1,
C,time__date,50 (100%),50,50,
C,time_block,46 (92%),50,46,
C,phase_raw,48 (96%),50,48,
C,phase_simple,50 (100%),50,50,
C,ac1__airspace,30 (60%),50,30,
C,airspace_class,50 (100%),50,50,
C,environment__light,26 (52%),50,26,
C,environment__flight_conditions,32 (64%),50,32,
C,events__anomaly,50 (100%),50,50,
C,events__result,50 (100%),50,50,
C,assessments__contributing_factors_situations,50 (100%),50,50,
C,assessments__primary_problem,50 (100%),50,50,
C,events__miss_distance,19 (38%),50,19,
C,miss_horizontal_ft,15 (30%),50,15,
C,miss_vertical_ft,15 (30%),50,15,
C,events__detector,47 (94%),50,47,
