variable,level,n_total,n_available,n,pct_of_all,pct_of_available
time_block,1201-1800,50,46,21,42,45.7
time_block,0601-1200,50,46,14,28,30.4
time_block,1801-2400,50,46,8,16,17.4
time_block,Unknown,50,46,4,8,8.7
time_block,0001-0600,50,46,3,6,6.5
phase_simple,Arrival,50,50,23,46,46
phase_simple,Enroute,50,50,13,26,26
phase_simple,Departure,50,50,9,18,18
phase_simple,Unknown,50,50,3,6,6
phase_simple,Surface,50,50,2,4,4
airspace_class,Unknown,50,50,20,40,40
airspace_class,B,50,50,13,26,26
airspace_class,D,50,50,7,14,14
airspace_class,C,50,50,5,10,10
airspace_class,E,50,50,3,6,6
airspace_class,A,50,50,1,2,2
airspace_class,G,50,50,1,2,2
environment__light,Unknown,50,26,24,48,92.3
environment__light,Daylight,50,26,19,38,73.1
environment__light,Night,50,26,6,12,23.1
environment__light,Dusk,50,26,1,2,3.8
environment__flight_conditions,VMC,50,32,31,62,96.9
environment__flight_conditions,Unknown,50,32,18,36,56.2
environment__flight_conditions,Marginal,50,32,1,2,3.1
events__detector,Person Flight Crew,50,47,29,58,61.7
events__detector,Person UAS Crew,50,47,15,30,31.9
events__detector,Unknown,50,47,3,6,6.4
events__detector,Person Air Traffic Control,50,47,2,4,4.3
events__detector,Automation Air Traffic Control,50,47,1,2,2.1
reporter_org,Air Carrier,50,49,20,40,40.8
reporter_org,Commercial Operator (UAS),50,49,12,24,24.5
reporter_org,Government,50,49,7,14,14.3
reporter_org,Personal,50,49,4,8,8.2
reporter_org,Recreational / Hobbyist (UAS),50,49,3,6,6.1
reporter_org,FBO,50,49,2,4,4.1
reporter_org,Air Taxi,50,49,1,2,2
reporter_org,Unknown,50,49,1,2,2
